1,50
2,53
3,59
4,56
5,69
6,63
7,64
8,55
9,52
10,43
11,67
12,39
13,33
14,42
15,65
16,60
17,50
18,53
19,48
20,16
21,55
22,61
23,35
24,28
25,55
26,53
27,46
28,48
29,64
30,23
31,37
32,34
33,60
34,45
35,47
36,36
37,55
38,15
39,13
40,55
41,48
42,50
43,59
44,44
45,56
46,42
47,33
48,18
49,52
50,42
51,53
52,56
53,43
54,16
55,54
56,45
57,48
58,50
59,11
60,2
61,23
62,22
63,55
64,26
65,32
66,4
67,26
68,37
69,46
70,35
71,21
72,25
73,38
74,21
75,10
76,24
77,10
78,10
79,25
80,33
81,1
82,2
83,20
84,9
85,12
86,1
87,5
88,3
89,3
90,13
91,2
92,5
93,5
94,1
95,1
96,10
97,5
98,12
99,7
100,9
